Company,Job,Degree,Experience_Level,Years_Experience,Salary_more_than_100k,Salary_K,Employment_Type,Location,Remote_Status,Age,Performance_Rating,Bonus_Percentage,Education_Year,Gender
Snapchat,business manager,master,senior,8,0,57,contract,France,hybrid,32,2.7,8.4,2017,Prefer not to say
LinkedIn,backend developer,bachelors,senior,11,0,77,full-time,UK,onsite,36,4.0,4.0,2023,Male
Nvidia,sales executive,phd,entry,1,0,60,contract,Australia,onsite,24,4.5,1.1,2024,Prefer not to say
ServiceNow,product manager,bachelors,senior,12,1,118,full-time,Canada,hybrid,39,4.0,21.0,2019,Non-binary
Stripe,operations manager,master,mid,4,0,52,part-time,Australia,hybrid,28,3.6,2.9,2023,Female
Dropbox,database admin,bachelors,entry,2,0,46,part-time,Canada,remote,25,4.5,8.9,2022,Prefer not to say
Oracle,marketing manager,phd,lead,20,0,72,full-time,France,hybrid,45,4.0,5.6,2020,Male
AMD,ML engineer,master,entry,2,1,176,part-time,USA,remote,23,3.7,1.3,2020,Non-binary
Nvidia,IT support,master,senior,7,0,95,contract,Australia,hybrid,29,2.7,5.8,2016,Non-binary
LinkedIn,data scientist,phd,entry,1,0,81,part-time,UK,remote,21,3.3,2.6,2023,Male
Tesla,network engineer,phd,senior,7,0,55,part-time,Canada,remote,34,4.5,5.6,2024,Non-binary
AMD,AI researcher,phd,entry,0,1,169,part-time,France,remote,21,2.6,12.7,2023,Prefer not to say
Salesforce,game developer,bachelors,entry,0,1,236,full-time,Australia,onsite,26,4.2,0.5,2021,Male
PayPal,HR manager,phd,mid,4,0,47,contract,Germany,remote,31,4.7,9.8,2022,Non-binary
Oracle,financial analyst,bachelors,mid,3,1,158,full-time,Germany,onsite,29,4.4,20.2,2024,Male
Dropbox,data scientist,bachelors,entry,1,1,111,full-time,Australia,hybrid,26,4.0,22.3,2022,Female
Spotify,backend developer,bachelors,entry,2,0,53,full-time,France,onsite,29,4.3,3.6,2018,Female
Stripe,UX designer,master,senior,9,0,60,part-time,India,remote,30,3.4,4.1,2015,Prefer not to say
Amazon,devops engineer,bachelors,mid,4,1,131,contract,France,onsite,29,4.5,3.5,2021,Prefer not to say
Apple,software engineer,master,entry,1,1,176,contract,Australia,remote,22,3.2,15.2,2021,Male
Intel,operations manager,bachelors,mid,6,1,236,full-time,Singapore,onsite,26,3.3,13.5,2019,Male
ServiceNow,IT support,master,mid,6,1,209,full-time,Australia,remote,26,3.9,23.8,2020,Prefer not to say
Twitter,fullstack developer,phd,senior,10,0,87,full-time,Canada,remote,33,4.8,2.8,2014,Non-binary
Nvidia,mobile developer,phd,senior,7,1,170,contract,India,hybrid,32,4.1,19.6,2024,Male
Twitter,backend developer,master,senior,7,1,212,full-time,Australia,hybrid,27,2.6,9.0,2016,Female
Microsoft,systems analyst,bachelors,senior,7,0,68,part-time,Germany,hybrid,29,4.4,2.8,2017,Female
Snapchat,marketing manager,bachelors,entry,0,1,147,full-time,India,onsite,27,3.3,13.8,2023,Male
Adobe,software engineer,phd,senior,11,0,55,part-time,Germany,remote,36,2.7,4.4,2016,Male
Tesla,QA engineer,phd,senior,12,0,67,part-time,Australia,remote,36,2.6,6.1,2019,Non-binary
Atlassian,ML engineer,master,lead,15,1,194,contract,Germany,hybrid,35,4.8,22.8,2024,Male
Zoom,QA engineer,phd,senior,11,1,108,full-time,Australia,hybrid,33,4.4,16.2,2023,Female
Airbnb,fullstack developer,bachelors,entry,2,0,73,part-time,Singapore,hybrid,29,3.2,8.4,2022,Female
Nvidia,game developer,master,mid,3,1,161,contract,Canada,onsite,30,4.9,10.2,2024,Non-binary
ServiceNow,technical writer,phd,lead,19,1,158,part-time,India,onsite,41,3.1,22.7,2006,Female
Zoom,UX designer,master,senior,10,1,229,full-time,France,onsite,32,3.7,22.0,2021,Female
Google,marketing manager,bachelors,lead,20,0,87,contract,Canada,remote,41,4.7,8.3,2024,Female
Meta,database admin,phd,lead,19,1,242,contract,USA,onsite,42,3.2,8.4,2014,Male
Amazon,fullstack developer,master,lead,19,1,174,contract,UK,onsite,46,2.8,4.6,2006,Male
Atlassian,software engineer,phd,senior,10,0,60,part-time,India,remote,37,3.8,5.9,2023,Female
Spotify,QA engineer,bachelors,lead,18,1,145,contract,India,remote,40,4.5,18.4,2018,Prefer not to say
Twitter,AI researcher,master,entry,0,1,173,contract,Canada,hybrid,24,3.6,22.1,2023,Non-binary
ServiceNow,cloud architect,phd,senior,11,1,230,full-time,USA,remote,33,4.0,1.0,2016,Female
Spotify,IT support,bachelors,senior,11,1,209,full-time,France,onsite,38,2.8,11.3,2021,Male
Atlassian,financial analyst,master,senior,9,0,86,full-time,Singapore,hybrid,30,4.5,7.4,2021,Male
Netflix,database admin,master,senior,11,1,118,contract,Germany,remote,36,3.6,23.3,2012,Non-binary
Dropbox,network engineer,phd,entry,0,0,48,part-time,UK,remote,26,4.2,2.7,2024,Prefer not to say
Square,project manager,master,mid,3,0,73,full-time,UK,remote,26,3.6,4.9,2020,Female
Microsoft,financial analyst,phd,senior,11,1,160,part-time,India,hybrid,36,3.8,23.9,2020,Female
Pinterest,project manager,master,lead,20,1,175,part-time,France,remote,41,2.8,22.0,2015,Prefer not to say
Oracle,cloud architect,phd,lead,18,1,129,full-time,Australia,onsite,43,3.5,3.2,2009,Prefer not to say
Pinterest,cloud architect,bachelors,senior,10,1,115,contract,Australia,hybrid,35,4.2,10.3,2012,Prefer not to say
Intel,security analyst,bachelors,senior,9,0,80,contract,Canada,hybrid,29,3.6,2.2,2022,Female
LinkedIn,AI researcher,master,mid,3,0,91,part-time,USA,remote,29,4.5,3.3,2022,Male
Uber,devops engineer,master,mid,6,0,95,full-time,Germany,hybrid,29,4.5,9.1,2019,Prefer not to say
Airbnb,fullstack developer,bachelors,entry,2,0,46,full-time,Germany,hybrid,28,2.6,2.8,2024,Female
Microsoft,security analyst,phd,entry,0,0,92,contract,USA,remote,24,2.7,5.0,2023,Male
Square,IT support,phd,mid,6,0,52,full-time,France,hybrid,30,3.6,7.4,2020,Non-binary
Tesla,sales executive,master,lead,14,1,156,contract,Australia,onsite,40,3.2,7.1,2008,Female
Google,project manager,phd,lead,14,1,215,contract,Singapore,onsite,37,4.9,9.9,2017,Prefer not to say
Spotify,systems analyst,bachelors,senior,12,1,121,contract,Canada,onsite,33,2.9,21.6,2009,Female
Meta,HR manager,phd,lead,16,0,43,part-time,Singapore,hybrid,43,3.5,7.4,2020,Male
Stripe,systems analyst,phd,lead,16,1,243,full-time,France,onsite,43,3.7,24.0,2017,Non-binary
Stripe,project manager,phd,entry,0,1,196,full-time,France,remote,22,2.9,18.7,2024,Female
Shopify,sales executive,bachelors,lead,20,1,135,contract,Singapore,hybrid,46,2.5,2.9,2015,Non-binary
LinkedIn,technical writer,phd,mid,4,1,195,full-time,UK,hybrid,28,3.7,23.4,2019,Female
Uber,frontend developer,master,entry,0,0,70,contract,France,remote,21,3.3,1.9,2022,Male
Oracle,sales executive,bachelors,lead,18,1,243,part-time,Australia,hybrid,41,4.1,23.2,2016,Non-binary
Twitter,fullstack developer,master,senior,9,0,75,part-time,UK,remote,32,4.0,1.0,2021,Non-binary
Adobe,systems analyst,bachelors,mid,6,0,61,part-time,UK,onsite,30,4.7,6.7,2017,Female
Google,game developer,bachelors,mid,4,0,49,full-time,France,hybrid,26,4.7,3.2,2024,Female
AMD,backend developer,master,senior,7,1,161,contract,Singapore,hybrid,33,4.4,17.7,2019,Non-binary
Uber,product manager,phd,mid,5,0,85,full-time,Canada,hybrid,27,3.9,4.9,2018,Non-binary
Airbnb,financial analyst,phd,senior,9,1,219,full-time,Singapore,onsite,34,3.6,15.4,2021,Prefer not to say
Netflix,fullstack developer,bachelors,mid,4,1,101,contract,India,hybrid,28,2.7,9.2,2020,Male
Microsoft,ML engineer,master,lead,17,1,170,contract,France,onsite,37,4.6,21.6,2009,Prefer not to say
Netflix,project manager,phd,entry,2,1,139,full-time,France,remote,24,2.7,20.9,2024,Male
Snapchat,frontend developer,bachelors,senior,9,0,94,full-time,UK,onsite,32,4.0,0.2,2011,Non-binary
Atlassian,systems analyst,phd,senior,12,1,203,part-time,India,onsite,38,4.2,1.6,2011,Female
Amazon,marketing manager,master,entry,2,0,72,contract,India,remote,28,4.1,8.4,2024,Non-binary
Airbnb,technical writer,bachelors,senior,12,0,45,contract,Singapore,remote,39,2.8,0.9,2022,Female
Twitter,ML engineer,bachelors,mid,5,1,217,full-time,India,onsite,26,4.9,7.7,2021,Female
Microsoft,HR manager,phd,senior,11,1,180,full-time,India,remote,37,4.6,6.8,2021,Female
Adobe,frontend developer,master,senior,11,1,193,full-time,USA,onsite,36,3.8,20.7,2014,Female
Dropbox,systems analyst,master,mid,6,0,62,part-time,Canada,remote,30,3.4,9.7,2016,Non-binary
Uber,mobile developer,bachelors,senior,7,0,99,full-time,Singapore,onsite,28,4.1,1.9,2022,Prefer not to say
IBM,systems analyst,master,entry,2,0,62,contract,Singapore,remote,22,3.6,3.3,2024,Female
Salesforce,marketing manager,master,mid,6,1,247,full-time,Singapore,onsite,32,3.5,20.9,2020,Non-binary
Spotify,backend developer,master,senior,8,0,88,full-time,USA,hybrid,29,3.6,2.7,2015,Prefer not to say
Netflix,database admin,bachelors,senior,11,0,52,part-time,India,remote,33,4.2,7.9,2023,Male
Zoom,mobile developer,bachelors,senior,10,1,100,contract,Germany,remote,32,4.7,7.5,2023,Female
Shopify,devops engineer,master,entry,2,1,242,part-time,Germany,remote,27,3.7,8.6,2021,Prefer not to say
ServiceNow,project manager,phd,lead,14,1,199,contract,Australia,hybrid,36,4.4,3.3,2014,Non-binary
LinkedIn,HR manager,phd,entry,2,0,77,contract,Singapore,remote,22,4.7,1.8,2023,Non-binary
Oracle,database admin,bachelors,lead,15,0,71,full-time,UK,remote,38,3.0,4.4,2014,Prefer not to say
AMD,business manager,master,senior,10,0,42,contract,France,hybrid,34,2.9,4.0,2016,Male
Zoom,product manager,master,entry,0,0,50,part-time,France,remote,25,3.9,3.8,2023,Male
Snapchat,backend developer,master,lead,17,1,129,full-time,Canada,onsite,44,3.4,11.8,2014,Non-binary
Zoom,marketing manager,master,lead,13,1,186,part-time,USA,remote,37,3.8,15.4,2010,Prefer not to say
Qualcomm,UX designer,bachelors,entry,0,0,96,contract,UK,hybrid,25,3.6,6.7,2024,Non-binary
Salesforce,technical writer,master,entry,2,1,109,contract,UK,hybrid,23,4.3,13.3,2021,Female
Amazon,network engineer,bachelors,mid,6,1,210,part-time,USA,hybrid,30,4.9,17.2,2021,Prefer not to say
Amazon,QA engineer,master,entry,2,0,80,full-time,Australia,hybrid,23,3.8,7.3,2022,Non-binary
Intel,software engineer,bachelors,senior,7,0,93,part-time,USA,remote,33,4.5,5.7,2020,Female
IBM,systems analyst,master,mid,4,1,170,contract,USA,onsite,24,3.5,4.5,2022,Non-binary
AMD,devops engineer,bachelors,lead,17,1,218,part-time,Canada,remote,42,3.1,0.5,2014,Female
LinkedIn,UX designer,phd,lead,18,0,74,part-time,Singapore,hybrid,44,4.8,0.1,2014,Non-binary
Dropbox,operations manager,bachelors,lead,15,0,83,part-time,France,hybrid,41,3.5,6.6,2006,Male
Airbnb,technical writer,bachelors,mid,5,0,59,part-time,Singapore,hybrid,29,3.6,4.7,2022,Female
Twitter,financial analyst,master,entry,1,0,55,contract,Australia,onsite,27,2.8,6.1,2024,Male
Tesla,devops engineer,bachelors,senior,12,0,65,full-time,Singapore,hybrid,38,4.4,4.2,2016,Non-binary
Snapchat,sales executive,phd,senior,10,0,54,part-time,UK,hybrid,36,4.4,2.9,2017,Female
Intel,UX designer,bachelors,senior,12,0,98,contract,Germany,hybrid,33,4.0,4.2,2011,Prefer not to say
Snapchat,software engineer,phd,mid,3,1,246,full-time,Canada,remote,29,3.3,6.2,2020,Prefer not to say
IBM,software engineer,phd,lead,16,1,141,part-time,Singapore,hybrid,43,4.3,6.0,2009,Female
Meta,UX designer,bachelors,entry,1,0,55,full-time,Singapore,remote,28,4.5,9.7,2020,Male
Shopify,marketing manager,bachelors,lead,13,0,87,part-time,Canada,onsite,33,4.2,8.7,2009,Prefer not to say
Zoom,financial analyst,master,entry,2,0,74,part-time,USA,hybrid,22,3.7,7.3,2022,Prefer not to say
IBM,HR manager,phd,lead,14,0,49,contract,Australia,onsite,38,4.4,1.1,2019,Non-binary
Pinterest,QA engineer,bachelors,mid,3,1,184,contract,Singapore,hybrid,24,4.7,12.3,2021,Non-binary
Salesforce,frontend developer,master,senior,11,0,57,contract,Singapore,remote,31,2.9,2.9,2021,Non-binary
Stripe,UX designer,master,mid,6,0,85,part-time,India,onsite,33,3.2,7.4,2022,Female
Shopify,HR manager,master,mid,5,0,49,full-time,UK,hybrid,25,3.4,5.1,2018,Prefer not to say
IBM,ML engineer,bachelors,senior,10,1,143,part-time,Singapore,remote,37,3.7,9.5,2014,Male
Nvidia,UX designer,bachelors,mid,3,1,150,full-time,Germany,hybrid,28,3.6,22.8,2024,Female
IBM,backend developer,bachelors,lead,18,1,229,part-time,USA,hybrid,39,3.9,13.4,2007,Male
Qualcomm,systems analyst,phd,mid,4,1,162,full-time,India,onsite,27,4.3,4.4,2020,Non-binary
Amazon,fullstack developer,bachelors,entry,0,1,153,full-time,USA,remote,23,4.0,14.5,2021,Male
Oracle,game developer,phd,entry,1,1,121,full-time,India,remote,28,2.7,14.7,2022,Prefer not to say
Twitter,software engineer,phd,lead,20,1,149,full-time,UK,remote,47,3.1,10.2,2016,Prefer not to say
Oracle,database admin,master,senior,11,1,163,part-time,Canada,hybrid,36,4.2,12.6,2014,Prefer not to say
PayPal,marketing manager,master,entry,2,0,70,contract,France,remote,29,2.9,7.6,2022,Male
Oracle,ML engineer,phd,mid,4,1,154,full-time,India,onsite,28,3.3,19.2,2021,Male
ServiceNow,AI researcher,bachelors,mid,6,1,143,contract,Australia,onsite,28,4.2,8.1,2016,Prefer not to say
PayPal,fullstack developer,master,mid,5,1,194,contract,India,hybrid,27,3.3,8.8,2019,Prefer not to say
AMD,systems analyst,master,lead,19,1,114,full-time,USA,hybrid,45,4.1,3.5,2010,Non-binary
Dropbox,frontend developer,bachelors,mid,5,0,93,part-time,Germany,remote,30,3.3,7.9,2019,Female
LinkedIn,database admin,master,senior,8,1,183,full-time,France,onsite,35,4.0,23.8,2024,Prefer not to say
Nvidia,security analyst,phd,lead,18,1,170,full-time,Singapore,hybrid,43,4.8,2.8,2020,Male
PayPal,fullstack developer,master,mid,4,1,243,full-time,India,hybrid,25,3.1,14.3,2018,Non-binary
Stripe,software engineer,bachelors,entry,1,0,94,part-time,Germany,hybrid,26,4.4,2.1,2022,Prefer not to say
Qualcomm,technical writer,master,mid,5,0,56,part-time,USA,remote,25,2.8,4.1,2018,Prefer not to say
Dropbox,database admin,bachelors,senior,7,0,72,full-time,Canada,onsite,32,3.7,5.7,2014,Male
Twitter,product manager,phd,entry,2,1,122,part-time,India,onsite,29,4.1,4.8,2024,Prefer not to say
Qualcomm,operations manager,phd,mid,4,1,247,part-time,Australia,hybrid,29,3.8,17.3,2021,Male
Twitter,UX designer,bachelors,lead,18,1,209,full-time,Germany,hybrid,40,4.6,14.6,2014,Prefer not to say
PayPal,IT support,phd,senior,8,0,52,part-time,UK,remote,30,3.3,1.0,2016,Male
Airbnb,technical writer,bachelors,senior,12,0,53,contract,Singapore,hybrid,35,2.9,9.9,2017,Female
Google,business manager,master,entry,2,1,153,contract,Canada,remote,28,3.6,10.0,2023,Prefer not to say
Amazon,marketing manager,phd,entry,0,0,71,full-time,Singapore,onsite,25,5.0,4.2,2024,Male
Spotify,security analyst,phd,entry,1,1,207,contract,India,remote,27,3.4,23.6,2024,Prefer not to say
Nvidia,frontend developer,bachelors,lead,17,1,182,contract,UK,remote,37,4.6,4.4,2024,Female
Meta,frontend developer,master,entry,0,0,95,full-time,UK,hybrid,24,4.0,8.2,2023,Female
ServiceNow,database admin,bachelors,mid,3,0,90,contract,Singapore,remote,25,3.7,3.1,2019,Non-binary
Google,game developer,bachelors,senior,7,0,87,full-time,UK,hybrid,29,2.6,3.8,2015,Female
Apple,software engineer,master,mid,3,1,128,full-time,UK,hybrid,30,5.0,21.4,2020,Prefer not to say
Shopify,AI researcher,phd,entry,1,1,132,contract,France,onsite,26,3.8,23.9,2022,Male
Spotify,fullstack developer,phd,mid,4,1,136,full-time,Canada,onsite,27,2.7,2.4,2021,Non-binary
Nvidia,cloud architect,master,mid,5,0,85,part-time,Singapore,onsite,32,4.0,5.2,2020,Female
AMD,technical writer,phd,mid,3,0,87,part-time,UK,onsite,29,2.6,2.0,2023,Male
Snapchat,data scientist,bachelors,mid,6,1,223,contract,France,remote,31,4.1,20.4,2015,Prefer not to say
Tesla,operations manager,phd,senior,12,1,171,part-time,France,hybrid,37,5.0,4.7,2019,Prefer not to say
Pinterest,sales executive,phd,senior,9,1,209,part-time,Canada,onsite,29,2.8,5.7,2017,Male
Airbnb,frontend developer,master,mid,6,1,241,contract,UK,onsite,27,3.0,20.5,2016,Female
Dropbox,backend developer,bachelors,entry,1,0,73,full-time,Germany,onsite,23,4.6,5.3,2020,Non-binary
Stripe,database admin,bachelors,senior,8,1,157,full-time,USA,onsite,30,4.9,15.2,2021,Non-binary
Intel,UX designer,master,lead,15,1,176,contract,Canada,remote,35,3.1,13.9,2015,Female
Microsoft,mobile developer,master,mid,4,1,162,full-time,Singapore,remote,30,4.1,9.8,2023,Female
Amazon,cloud architect,master,mid,4,1,152,contract,India,remote,31,4.2,19.0,2024,Male
Uber,sales executive,phd,lead,17,1,131,full-time,USA,remote,44,2.7,24.5,2014,Non-binary
Intel,IT support,master,entry,2,0,50,part-time,Germany,hybrid,29,3.1,1.0,2020,Non-binary
Shopify,consultant,phd,lead,19,0,43,part-time,Australia,hybrid,40,4.6,7.3,2016,Non-binary
Pinterest,IT support,master,senior,12,1,224,full-time,Canada,onsite,35,3.7,14.8,2014,Non-binary
PayPal,IT support,phd,lead,19,0,78,part-time,Canada,remote,45,4.0,5.9,2004,Male
Apple,mobile developer,bachelors,senior,11,0,66,part-time,USA,onsite,37,4.4,3.5,2010,Prefer not to say
Intel,IT support,phd,lead,16,0,76,part-time,USA,remote,38,4.1,3.3,2015,Prefer not to say
Square,operations manager,master,senior,8,1,170,part-time,UK,remote,35,3.3,17.5,2014,Non-binary
Tesla,network engineer,phd,senior,9,0,89,part-time,Singapore,hybrid,31,4.6,3.3,2015,Female
Dropbox,UX designer,bachelors,entry,2,0,71,part-time,Singapore,hybrid,24,3.0,8.6,2021,Non-binary
Zoom,operations manager,master,mid,3,1,148,full-time,Australia,onsite,27,4.3,14.0,2020,Female
LinkedIn,frontend developer,bachelors,mid,6,1,167,full-time,Canada,onsite,28,3.4,8.8,2022,Prefer not to say
Shopify,fullstack developer,master,entry,1,0,92,contract,France,remote,21,3.9,6.7,2022,Male
Nvidia,IT support,phd,mid,6,0,81,full-time,France,remote,29,2.5,2.4,2024,Prefer not to say
AMD,network engineer,phd,mid,6,1,247,contract,Australia,onsite,32,3.2,19.9,2019,Non-binary
IBM,technical writer,bachelors,senior,12,0,48,part-time,France,onsite,37,3.1,5.4,2020,Male
Airbnb,QA engineer,bachelors,mid,4,0,69,part-time,Australia,onsite,28,4.6,4.6,2017,Prefer not to say
Amazon,marketing manager,bachelors,lead,18,0,70,part-time,USA,remote,40,4.2,0.7,2016,Non-binary
Stripe,AI researcher,master,lead,15,0,65,part-time,Germany,onsite,38,3.6,5.4,2015,Non-binary
Twitter,game developer,phd,lead,18,0,95,full-time,Canada,onsite,38,2.6,7.5,2006,Male
LinkedIn,product manager,phd,lead,16,1,163,part-time,Canada,remote,38,2.6,23.2,2021,Non-binary
Apple,HR manager,phd,lead,20,1,135,contract,France,remote,45,2.7,8.9,2011,Non-binary
Amazon,marketing manager,master,lead,14,1,186,full-time,Singapore,remote,41,3.8,0.5,2023,Male
Apple,marketing manager,bachelors,entry,1,1,107,full-time,UK,remote,26,4.9,4.7,2020,Prefer not to say
Airbnb,devops engineer,master,entry,2,0,63,part-time,France,hybrid,24,4.3,8.8,2023,Female
Google,AI researcher,bachelors,entry,0,0,62,contract,UK,onsite,22,3.8,9.0,2021,Female
LinkedIn,QA engineer,master,lead,14,0,61,contract,Australia,hybrid,37,2.9,9.6,2009,Female
Microsoft,technical writer,bachelors,lead,14,0,94,part-time,Germany,onsite,35,4.1,9.1,2006,Prefer not to say
Salesforce,QA engineer,bachelors,lead,19,1,203,full-time,France,hybrid,45,2.7,0.6,2021,Non-binary
LinkedIn,HR manager,master,lead,13,0,73,contract,USA,remote,33,4.9,3.1,2019,Non-binary
Airbnb,software engineer,bachelors,senior,11,1,113,contract,Germany,onsite,37,3.8,21.2,2013,Male
Apple,operations manager,bachelors,mid,4,1,226,part-time,Canada,onsite,27,4.1,0.4,2018,Female
ServiceNow,UX designer,bachelors,mid,5,0,51,part-time,UK,remote,31,3.4,8.4,2024,Female
LinkedIn,cloud architect,phd,senior,12,1,179,contract,Australia,onsite,35,4.3,6.8,2013,Male
Dropbox,financial analyst,master,senior,10,0,56,full-time,UK,onsite,30,4.2,0.4,2012,Prefer not to say
Pinterest,frontend developer,bachelors,entry,0,0,97,part-time,India,remote,27,3.0,3.3,2022,Prefer not to say
Airbnb,UX designer,master,senior,10,0,92,full-time,France,remote,33,3.9,5.0,2022,Male
Spotify,sales executive,bachelors,mid,4,0,45,full-time,USA,remote,25,3.6,3.7,2022,Prefer not to say
Pinterest,database admin,bachelors,mid,3,0,49,part-time,Australia,hybrid,28,4.8,3.5,2021,Male
Intel,business manager,master,entry,0,1,185,full-time,UK,remote,27,4.7,1.7,2024,Non-binary
Meta,network engineer,master,entry,1,0,73,full-time,USA,onsite,21,4.3,7.2,2022,Non-binary
Meta,sales executive,phd,mid,3,1,199,full-time,USA,remote,24,4.4,0.9,2020,Male
Snapchat,IT support,master,lead,19,0,68,contract,France,onsite,42,3.7,2.5,2004,Prefer not to say
ServiceNow,business manager,master,senior,12,1,144,full-time,India,hybrid,38,4.7,9.2,2024,Prefer not to say
Meta,data scientist,master,lead,16,0,65,part-time,France,onsite,38,3.4,9.4,2011,Prefer not to say
Square,operations manager,master,lead,18,1,202,contract,Singapore,onsite,40,3.8,6.2,2018,Female
Atlassian,operations manager,phd,lead,16,1,200,contract,USA,hybrid,38,2.8,16.3,2015,Prefer not to say
Tesla,devops engineer,master,mid,6,1,146,part-time,UK,remote,33,4.2,9.6,2022,Non-binary
Snapchat,HR manager,phd,mid,6,1,162,full-time,Canada,hybrid,28,3.3,23.3,2024,Male
Amazon,software engineer,bachelors,entry,1,0,99,contract,Singapore,remote,26,4.4,9.6,2022,Male
LinkedIn,QA engineer,phd,lead,15,1,174,contract,Australia,remote,39,4.5,4.0,2020,Female
Apple,network engineer,phd,lead,20,1,171,full-time,USA,remote,43,4.2,3.7,2010,Male
Meta,HR manager,master,lead,13,1,250,contract,Singapore,hybrid,38,4.0,4.5,2024,Prefer not to say
Atlassian,QA engineer,bachelors,senior,11,1,176,full-time,India,remote,37,2.8,23.4,2018,Non-binary
Stripe,game developer,bachelors,senior,10,0,41,part-time,USA,remote,36,3.4,2.5,2016,Non-binary
Spotify,QA engineer,bachelors,entry,1,0,56,part-time,Canada,hybrid,28,3.3,2.7,2019,Prefer not to say
Oracle,network engineer,bachelors,mid,3,1,177,part-time,Australia,remote,29,4.8,9.5,2024,Non-binary
Oracle,technical writer,phd,lead,15,1,188,contract,Canada,onsite,39,3.0,7.0,2022,Prefer not to say
Zoom,backend developer,master,entry,0,0,55,full-time,Canada,remote,21,3.4,1.5,2024,Male
Google,fullstack developer,bachelors,senior,11,1,217,part-time,Canada,onsite,36,2.8,3.0,2020,Female
Netflix,product manager,phd,entry,2,1,159,full-time,Germany,remote,25,4.3,9.7,2023,Prefer not to say
Stripe,project manager,phd,mid,3,1,213,contract,UK,onsite,25,2.5,4.4,2023,Non-binary
Atlassian,network engineer,phd,mid,3,1,148,part-time,Australia,hybrid,25,4.4,5.7,2021,Non-binary
Uber,ML engineer,master,mid,5,1,161,contract,Canada,onsite,25,4.7,17.1,2020,Female
Microsoft,product manager,master,senior,10,1,120,part-time,Canada,remote,37,4.9,16.9,2019,Non-binary
Twitter,security analyst,phd,senior,10,1,194,contract,Germany,hybrid,37,4.4,7.8,2013,Female
Twitter,marketing manager,bachelors,senior,10,0,60,contract,Australia,hybrid,36,4.7,4.6,2022,Female
AMD,software engineer,bachelors,senior,12,0,49,contract,UK,hybrid,38,2.5,7.9,2019,Female
Tesla,sales executive,bachelors,lead,18,1,150,contract,Germany,hybrid,38,3.5,7.6,2007,Non-binary
Tesla,project manager,phd,lead,15,1,224,contract,India,hybrid,35,4.9,1.7,2014,Prefer not to say
Meta,cloud architect,phd,lead,13,1,178,full-time,UK,hybrid,35,4.1,17.1,2018,Male
Uber,UX designer,master,senior,9,0,76,part-time,Singapore,remote,36,2.5,3.7,2021,Female
Stripe,cloud architect,master,lead,18,1,149,contract,Germany,hybrid,40,4.5,14.3,2017,Female
Spotify,systems analyst,master,entry,0,0,64,contract,Canada,onsite,22,3.3,5.3,2023,Non-binary
Qualcomm,HR manager,bachelors,senior,7,0,70,part-time,UK,remote,30,4.1,3.3,2015,Prefer not to say
Zoom,security analyst,master,lead,16,0,92,contract,India,onsite,39,4.0,3.0,2023,Female
Nvidia,game developer,master,lead,13,0,59,part-time,Singapore,remote,37,2.9,0.3,2011,Male
Qualcomm,mobile developer,bachelors,lead,15,0,78,part-time,France,hybrid,42,2.8,2.7,2016,Female
Salesforce,marketing manager,phd,mid,3,0,43,contract,Australia,onsite,28,3.7,1.4,2021,Male
Snapchat,QA engineer,master,mid,3,0,81,contract,UK,hybrid,27,3.9,5.7,2020,Male
Spotify,product manager,bachelors,mid,4,1,160,full-time,Canada,hybrid,25,4.9,8.5,2018,Non-binary
Spotify,HR manager,phd,entry,1,0,84,part-time,Canada,onsite,23,4.6,8.1,2023,Female
PayPal,consultant,master,mid,3,1,113,full-time,UK,hybrid,26,2.6,5.5,2023,Female
Uber,QA engineer,master,lead,13,0,72,part-time,USA,hybrid,37,2.6,7.1,2011,Male
Tesla,systems analyst,bachelors,mid,3,1,189,full-time,Germany,onsite,24,4.7,12.7,2022,Prefer not to say
Meta,network engineer,bachelors,senior,11,1,199,contract,India,remote,33,4.4,6.4,2018,Non-binary
Intel,sales executive,phd,senior,11,1,231,contract,Germany,remote,37,3.0,1.0,2012,Male
Tesla,mobile developer,phd,senior,11,0,92,part-time,Germany,hybrid,35,3.7,6.5,2021,Non-binary
Uber,software engineer,master,entry,1,0,53,full-time,France,onsite,28,3.5,3.3,2021,Female
Spotify,network engineer,phd,senior,8,0,44,part-time,USA,remote,29,4.6,6.2,2024,Non-binary
Salesforce,operations manager,master,mid,4,1,148,full-time,India,onsite,30,4.7,1.9,2021,Male
PayPal,data scientist,bachelors,senior,8,1,130,full-time,France,hybrid,28,2.9,2.8,2013,Female
Shopify,systems analyst,phd,senior,11,1,222,contract,USA,onsite,32,4.2,5.4,2018,Prefer not to say
Microsoft,project manager,master,lead,13,1,247,contract,France,onsite,33,2.7,19.2,2016,Non-binary
Tesla,game developer,master,entry,0,0,55,part-time,France,remote,27,5.0,0.4,2022,Prefer not to say
Zoom,cloud architect,phd,entry,2,1,194,contract,Singapore,hybrid,29,3.9,9.3,2022,Female
Square,ML engineer,master,lead,18,1,219,full-time,Singapore,hybrid,43,2.9,16.8,2009,Prefer not to say
AMD,product manager,phd,senior,9,1,219,full-time,UK,onsite,36,4.7,4.1,2024,Non-binary
LinkedIn,QA engineer,phd,mid,4,1,201,part-time,Canada,hybrid,25,4.7,24.8,2020,Male
Twitter,software engineer,master,mid,5,1,225,part-time,Germany,hybrid,26,4.3,19.9,2018,Prefer not to say
